IPA	English	Dutch	German	Spanish	French	Italian	Catalan	Russian	Swedish	Vietnamese	Korean	Greek	Arabic	Japanese	Portuguese	Finnish
p	spin	pen	Pracht	papa	paix	papa	papa	папа	spotta	pin	빠	παπάς	—	さんぽ	pato	poika
pʰ	pin	—	Post	—	—	—	—	—	potta	—	파	—	—	—	—	—
b	but, butt	best	Ball	beso	boule	bene	bo	бабушка	bil	—	바	μπύρα	—	ぼうりょく	bato	bileet
t	stop	tot	Treppe	tocar	tarif	tempo	tot	телефон	stå	tự	따	μητέρα	—	たけ	tato	lista
tʰ	top	—	Tier	—	—	—	—	—	tå	thu	타	—	—	—	—	—
d	do	dode	die	donde	dent	donna	dau	дома	dam	—	다	ντομάτα	—	だけ	dado	disko
t͡ʃ	chair, picture	tsjilp, chips	Deutsch	mucho	Tchad	cena	—	—	—	—	차	—	—	—	tcheco	—
d͡ʒ	gin, joy	jeans	Dschungel	—	jazz	giorno	—	—	—	—	자	—	—	—	dia	—
c	—	—	—	—	—	—	—	—	—	cha	—	και	—	—	—	yhtä
ɟ	—	—	—	—	—	—	—	—	—	—	—	γκιόνης	—	—	—	—
k	scan, take	kom, café	Kraft	carro	coq	capo	cop	как	skål	ca	까	κάτω	—	かく	cato	kenkä
kʰ	cat, cry, queen	—	komm	—	—	—	—	—	kål	khách	카	—	—	—	—	—
ɡ	go, get	zakdoek, goal	geht	ganar	gauche	grillo	gat	говорить	går	—	가	γκάζι	—	がく	gato	genomi
q	—	—	—	—	—	—	—	—	—	—	—	—	قاف	—	—	—
ɸ	—	—	—	—	—	—	—	—	—	—	—	—	—	ふくろう, 富士山	—	—
β	—	—	—	cabo	—	—	bava	—	—	—	—	—	—	きぼう, ライヴ	sabre	—
f	fool, enough	fiets	fünf, vier	fuerte	fort	fresco	fort	фамилия	fas	phở	—	φέτα	في	—	fato	fyrkka
v	voice	vogel	Welt	—	vivre	via	afganès	вода	vas	vũ	—	βόδι	—	—	vela	viisi
θ	thing	—	—	caza	—	—	—	—	—	—	—	θέμα	ثانوي	—	—	—
ð	this	—	—	cada	—	—	fada	—	—	—	—	δέμα	—	—	—	—
s	see, pass, city	steen, recent, actie	groß, Fluss	sí	sauter	suono	sal, ce, piscina, massa,	себя	sil	xanh xao	사	μισώ	—	さいだん	sela	sinä
z	zoo, roses	zee	See	mismo	zèle, rose	rosa, sbarra	casa, zona	зоопарк	—	giữa	—	μαζεύω	—	ざいだん	zela	—
ʃ	she, sure, emotion	meisje, sheriff, chips	Geschäft	—	chemin	scendo	caixa, xarxa	—	sju	—	—	—	—	—	chela	šeikki
ʒ	pleasure	genre	Etage	—	jour	—	gent, joia	—	—	—	—	—	—	—	gela	—
ʂ	—	—	—	—	—	—	—	шахматы	sju, kors	sắc	—	—	—	—	—	—
ʐ	—	—	—	—	—	—	—	тяжёлый	—	ra	—	—	—	—	—	—
ç	huge	licht, weg	ich	—	—	—	—	—	—	—	—	χέρι	—	ひと	—	—
ɕ	—	—	—	—	—	—	—	женщина	kär	—	시각	—	—	しる	—	—
ʑ	—	—	—	—	—	—	—	сжимать	—	—	—	—	—	富士山	—	—
ʝ	—	—	—	saya	—	—	—	—	—	—	—	για	—	—	—	—
x	loch	lach, dag	Buch	ajo	—	—	—	характер	—	khách	—	χάνω	أخبار	—	carro	kahta
ɧ	—	—	—	—	—	—	—	—	sju	—	—	—	—	—	—	—
ɣ	—	gaan	—	miga	—	—	vaga	—	—	gà	—	γάτα	مشغول	はげ	—	—
h	ham	—	Hand	—	—	—	—	—	hel	hay	함	—	—	はげ	carro	heinä
ɦ	ahead	hand	—	—	—	—	—	—	—	—	—	—	—	—	—	maha
m	mare	man	man	mano	dame	mese	mot	мама	mil	máy	마	αίμα	—	めん, さんぽ	mato	musta
ɱ	emphasis	omvallen	—	infierno	—	enfasi	amfibi	—	—	—	—	έμφαση	—	—	—	informaatio
n	no	nu	nach	no	nez	nota	nas	ночь	nos	nó	나	άνω	—	のうりょく	nato	kani
ɲ	canyon	kanjer	—	año	oignon	gnocchi	canya	—	—	nhanh, sinh	—	πανιά	—	—	rainha	—
ŋ	singer, ring	ring, pink	Finger	tengo	parking, camping	anche	llengua	—	ring	xẻng, ngon, nghĩ	앙	άγχος	—	あんごう, あんごう	—	sanko
ɴ	—	—	—	enjuto	—	—	—	—	—	—	—	—	—	ふじさん, あんちゃん	—	—
l	left	leeft	lauft	largo	leur	largo	laboral	—	pil	lễ	—	καλός	—	—	calo	kala
ʎ	—	—	—	ella	—	aglio	llarg, colla, vell	—	—	—	—	κιάλια	—	—	calho	—
ɫ	pull	—	—	—	—	—	—	палка	—	—	—	—	—	—	calo	—
ɾ	better	—	—	pero	—	però	cara	—	—	—	우리	πάρα	—	—	caro	—
r	—	riet	—	perro	—	rotondo	rata, sorra	кора	ros	—	—	—	—	—	carro	raha
ɻ	run, very	—	—	—	—	—	—	—	—	răng	—	—	—	—	—	—
ʁ	—	—	dort	—	air, rond	—	—	—	—	—	—	—	—	—	carro	—
ʀ	—	hier, riet	Reich	—	—	—	—	—	—	—	—	—	—	carro	—
ɺ	—	—	—	—	—	—	—	—	—	—	—	—	—	ありがとう	—	—
w	we	wie	Web	hueso	oui	uovo	dau	—	—	oanh	와	—	—	わ	pau	—
ɥ	—	—	—	—	huit	—	—	—	—	—	—	—	—	—	—	—
j	yes	ja	ja	pie	yaourt	ieri	iot	толстый	jag	da	야	—	—	ゆうき	vai	jalka
ʋ	—	wang	—	—	—	—	—	—	—	—	—	—	—	—	—	viisi
