IPA	English	Dutch	German	Spanish	French	Italian	Catalan	Russian	Swedish	Vietnamese	Korean	Greek	Croatian	Japanese	Portuguese	Finnish
i	easy	ziet, psychisch	Mikroskop	sí	vie	città	pi, mil	один	—	ri	이름	ήλιος	sin	ひと	amigo	minä
iː	seen	—	Biene	—	dire	prima	—	—	sil	phi cơ	말이	—	—	ひいらぎ	—	siili
ɪ	city	zit	Tisch	—	vite	—	—	перо	sill	linh	—	—	—	—	—	—
e	—	legen, zee	Etage	él	année	fetta	després, cec	шея	—	chê	—	μέλι	red	へび	eu	eläin
eː	there	—	Ehre	—	—	rete	—	—	hel	—	—	—	—	へいき	—	tee
ei	—	—	—	seis	—	dei	rei	—	—	—	—	—	—	—	—	seinä
eɪ	play	zee	—	—	—	—	—	—	—	—	—	—	—	—	—	—
eu	—	eeuw	—	—	—	Europa	neu	—	—	—	—	—	—	—	—	seurata
ɛu	—	—	—	—	—	—	peu	—	—	—	—	—	—	—	—	—
ɛ	bed	—	Erde	—	mettre	ferro	desprès, cel	это	häll	te	—	—	—	—	ela	—
ɛː	—	bij	Ähre	—	mère	bene	—	—	häl	—	—	—	—	—	—	—
ɛi	—	bij	—	—	—	sei	servei	—	—	—	—	—	—	—	—	—
ɛə	there	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
æ	cat	leggen	—	—	—	—	—	пять	herr	xa	—	—	—	—	—	setä
æː	—	—	—	—	—	—	—	—	här	—	—	—	—	—	—	pää
y	—	duur, luren	Büro	—	du	—	—	—	—	—	—	—	—	—	—	yksi
yː	—	—	über	—	mur	—	—	—	syl	—	—	—	—	—	—	pyy
ʏ	—	—	Glück	—	chute	—	—	—	syll	—	—	—	—	—	—	—
ø	—	deur	Ökonom	—	deux	—	—	—	—	—	—	—	—	—	—	öljy
øː	—	—	Höhle	—	neutre	—	—	—	nöt	—	—	—	—	—	—	insinööri
œ	—	hun	Hölle	—	neuf	—	—	—	nött	—	—	—	—	—	—	—
ɨ	—	—	—	—	—	—	—	мышь	—	—	—	—	—	—	vinte	—
ə	about, winner	gevaar, avond, een, gevaarlijk	bitte	—	de	—	per, hola	мало	boken	—	—	—	—	—	—	—
ɚ	winner	—	—	—	soccer	—	—	—	—	—	—	—	—	—	—	—
ɐ	cut	—	besser	—	—	—	—	большой	—	ăn	—	—	—	—	pano	—
ɜ	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
ɜː	bird	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
ɝ	bird	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
a	—	aan, lager	hat	algo	lac, bateau	fatto	pa	маленький	matt	ra	—	άνω	dan	かお	fala	—
aː	mock	—	Bahn	—	page	fato	—	—	—	—	—	—	—	おかあさん	—	—
aɪ	fight	aai	sein	vainilla	ail	-	mai	—	—	—	—	—	—	—	—	—
ʉ	—	—	—	—	—	—	—	чуть	—	—	—	—	—	—	—	—
ʉː	—	—	—	—	—	—	—	—	ful	—	—	—	—	—	—	—
ɵ	—	—	—	—	—	—	—	тётя	full	—	—	—	—	—	—	—
ɯ	—	—	—	—	—	—	—	—	—	như	으	—	—	すじ	—	—
ɯː	—	—	—	—	—	—	—	—	—	—	—	—	—	すうじ	—	—
ɤ	—	—	—	—	—	—	—	—	—	hơn	어	—	—	—	—	—
ʌ	run	hut	—	—	—	—	—	—	—	ân	—	—	—	—	—	—
ʌː	—	zout	—	—	—	—	—	—	—	—	—	—	—	—	—	—
ʌu	—	nauw, zout	—	—	—	—	—	—	—	câu	—	—	—	—	—	—
ɑ	—	lat	—	—	âne, fâcher	—	—	палка	—	—	—	—	—	—	—	talo
